Contrato,Predicao_Fraude
321966731715,1
322068412715,0
321960328715,0
321961171715,1
322012295715,1
322041249715,0
321949905715,1
322012679715,0
322047290715,0
322070795715,1
322049770715,1
321980433715,1
322070284715,1
322030899715,0
321980486715,0
322041188715,0
322021273715,1
322000278715,0
322090952715,0
321998480715,1
321972341715,0
322087420715,1
322069273715,1
322094716715,0
321983124715,1
322092986715,0
322097180715,1
322066904715,0
322064631715,1
322072602715,0
321963018715,1
322040452715,1
322031221715,0
321971592715,1
322047460715,0
322051697715,1
321972090715,0
322034432715,0
322052642715,0
322033115715,1
322019004715,0
322034486715,0
322038067715,0
322001802715,0
321946403715,1
322093653715,1
322051717715,1
322025612715,1
321981749715,1
322001442715,1
322075504715,1
322033485715,0
321965567715,1
322058856715,1
322024814715,1
321963702715,0
322094235715,0
322014561715,1
322061163715,0
322085606715,1
322014330715,0
322003895715,0
321999366715,1
321981956715,1
322096828715,0
321993924715,1
322036329715,1
321994498715,0
321952000715,1
321992067715,0
322053042715,1
321950796715,1
322092527715,1
322057616715,1
321969642715,0
321971789715,0
321951567715,1
321997282715,1
321954842715,0
321979288715,1
322045087715,1
321976736715,0
322082863715,0
322005635715,1
322015261715,1
322074255715,0
322043662715,0
322084825715,1
322059961715,0
322041436715,1
322082383715,1
322088168715,1
322035320715,0
321999387715,0
322003250715,0
322069881715,0
322096800715,1
322057075715,0
322052580715,1
321963374715,1
321991017715,0
321992460715,1
322036334715,1
322086322715,0
321980546715,0
322033999715,1
321964802715,0
321965081715,1
322097279715,0
322091257715,0
322040616715,0
321962642715,0
321955063715,0
322042278715,1
322088784715,0
322089786715,1
322061187715,1
322046374715,1
322034299715,1
321968649715,1
322077021715,1
322069721715,1
321995855715,1
322060566715,1
321984466715,1
322017454715,1
322054584715,1
322034351715,1
322005709715,1
321973201715,1
321985111715,1
322002472715,0
322027655715,1
321960155715,0
321971870715,1
322097785715,0
322059354715,1
322020297715,0
322026304715,0
321985341715,0
322022761715,1
322065643715,1
322050858715,1
322003500715,0
322058261715,1
321965368715,0
321960733715,0
321967353715,0
322010627715,1
322012945715,1
322066773715,0
322041525715,1
322035676715,1
322003252715,0
322029911715,0
322078665715,1
322061999715,1
321951959715,1
321988944715,1
322095785715,1
321952126715,0
322086111715,1
322056369715,0
322055687715,1
321961708715,0
322018175715,1
321996501715,1
321990543715,1
322074207715,0
322006905715,1
321998842715,1
322070946715,0
322049314715,1
322016403715,0
321992184715,1
321974427715,0
321952094715,1
