Contrato,Predicao_Fraude,Valor_Renda,QT_Dias_Atraso,Total_Pago
322069897715,1,3000.0,344.0,1171.5
322069898715,0,2100.0,,6914.66
322069899715,1,2000.0,315.0,1107.3
322069900715,0,15000.0,,29939.23
322069901715,0,2015.0,,3296.66
322069903715,1,2000.0,344.0,1114.73
322069909715,0,16000.0,11.0,13099.42
322069910715,1,16000.0,225.0,5803.23
322069912715,0,4000.0,,11998.83
322069914715,0,2500.0,,5336.47
322069915715,0,30000.0,,29526.11
322069917715,0,2500.0,,23343.85
322069918715,0,1700.0,,4996.27
322069919715,0,9000.0,,11107.04
322069921715,1,1707.0,406.0,368.3
322069922715,0,2000.0,,9178.87
322069923715,0,2500.0,,4151.2
322069924715,0,5000.0,,2364.51
322069925715,0,6000.0,,5839.45
322069926715,0,2500.0,,15372.59
322069927715,0,3400.0,,4117.63
322069931715,1,3000.0,376.0,368.3
322069932715,1,2000.0,225.0,2485.0
322069934715,1,3000.0,376.0,368.3
322069935715,0,2656.0,71.0,10388.58
322069937715,0,3374.0,,9412.65
322069939715,1,4000.0,344.0,595.35
322069941715,1,7500.0,225.0,7141.12
322069942715,0,3800.0,71.0,3074.89
322069943715,1,4000.0,376.0,1222.22
322069946715,1,3000.0,225.0,2360.67
322069947715,1,7500.0,225.0,7141.12
322069951715,1,1600.0,406.0,220.31
322069952715,1,3690.0,406.0,158.66
322069953715,1,4000.0,162.0,4868.31
322069954715,1,1900.0,406.0,208.34
322069956715,1,2500.0,344.0,1754.1
322069957715,0,4550.0,,14271.18
322069958715,0,1500.0,71.0,5375.54
322069959715,0,1043.0,,12313.19
322069960715,0,3500.0,,8330.27
322069961715,1,3200.0,194.0,2500.02
322069962715,1,5000.0,251.0,1776.14
322069963715,0,2500.0,71.0,6271.79
322069964715,1,2500.0,284.0,644.77
322069965715,0,3318.0,,11452.75
322069966715,1,2000.0,376.0,666.0
322069969715,0,3400.0,,4357.7
322069970715,1,2500.0,406.0,611.11
322069971715,1,3500.0,376.0,1904.0
322069973715,1,2656.0,162.0,3417.84
322069974715,0,10500.0,,11936.43
322069975715,1,50000.0,251.0,5563.8
322069976715,0,19649.94,11.0,26538.65
322069977715,1,1500.0,251.0,2858.75
322069982715,0,5000.0,11.0,13742.41
322069984715,0,5000.0,11.0,13742.41
322069986715,0,2000.0,71.0,4913.04
322069987715,1,1341.69,315.0,547.5
322069994715,1,15000.0,406.0,4073.64
322069995715,0,9000.0,11.0,10635.4
322069996715,1,2000.0,406.0,355.0
322069997715,1,3000.0,376.0,1485.0
322069999715,0,7000.0,,11750.15
322070000715,0,5000.0,,120423.1
322070001715,0,4200.0,,6690.53
322070002715,1,3000.0,344.0,1165.38
322070003715,0,3700.0,,20000.1
322070007715,1,4700.0,344.0,2524.5
322070008715,1,3300.0,406.0,360.0
322070009715,1,2209.42,251.0,3030.0
322070010715,1,3000.0,162.0,3732.64
322070013715,0,1200.0,,5757.38
322070014715,1,1600.0,406.0,208.33
322070017715,1,2600.0,406.0,231.47
322070019715,0,1600.0,,5354.52
322070020715,1,3000.0,376.0,247.5
322070021715,1,2500.0,406.0,0.0
322070022715,1,1500.0,251.0,2137.34
322070025715,1,5000.0,344.0,818.84
322070026715,1,3000.0,225.0,2492.2
322070027715,0,1500.0,,7292.15
322070028715,1,750.0,162.0,2232.63
322070029715,0,1200.0,,3693.97
322070030715,0,3000.0,,47246.25
322070031715,1,3000.0,406.0,396.0
322070032715,1,3000.0,162.0,4440.0
322070035715,1,2100.0,376.0,413.09
322070037715,0,3500.0,,2023.72
322070039715,1,3000.0,194.0,3709.2
322070040715,0,3000.0,,9282.2
322070042715,1,3000.0,376.0,1222.22
322070049715,0,2200.0,41.0,5659.17
322070052715,0,6000.0,,14598.62
322070054715,0,4000.0,103.0,8580.74
322070056715,1,1720.0,406.0,279.95
322070057715,1,2100.0,406.0,390.5
322070058715,1,8000.0,406.0,2102.81
322070059715,0,2000.0,,5352.27
322070061715,0,3300.0,11.0,11460.4
